original,sampled,completed,time-4-model
"Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash on a B-road in Wiltshire. Gareth Hicks, 24, suffered fatal injuries when the van he was asleep in was hit by Mr Scott's Audi A6. Maj Scott denies a charge of causing death by careless driving. Prosecutor Charles Gabb alleged the defendant, from Green Lane in Shepperton, Surrey, had crossed the carriageway of the 60mph-limit B390 in Shrewton near Amesbury. The weather was ""awful"" and there was strong wind and rain, he told jurors. He said Mr Scott's car was described as ""twitching"" and ""may have been aquaplaning"" before striking the first vehicle; a BMW driven by Craig Reed. Mr Scott's Audi then returned to his side of the road but crossed the carriageway again before colliding head-on with a Ford Transit van","Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash.

His lawyer said he felt ""really embarrassed"", but added that his client had not been driving dangerously at the time of the crash.

Mr Scott's car spun out after the crash on the M2 toll road near Milton Keynes, Buckinghamshire, near to the town of Luton.

Image copyright Sussex Police Image caption Richard Scott, from Maidstone, Kent, was arrested on suspicion of drink driving and driving his car into a car being driven by Mark Davies

The 42-year-old Mr Davies, from Luton, was taken to hospital with ""life-threatening injuries"", police said.

Media playback is unsupported on your device Media caption Footage showed the car spinning away from the crash

""We have spoken in the past with Mr Scott and his lawyers about the dangers of speeding in heavy rain","Maj Richard Scott , 40 , is accused of driving at speeds of up to 95mph ( 153km/h ) in bad weather before the smash on a B-road in Wiltshire .He is charged with causing death by unsafe ... - # # J ailed for Driving Too Fast in Rain A motor ist was left dead after a driver behind a l orry on a motorway decided to overtake . The two vehicles collided head long on a rain- sodden B road close to Alton Down . The 56-year -old male driver of the l orry lost his life in the smash ..... # # D rivin g in bad weather can be dangerous . 2 . 7 / 8 / 9 Driving school has been a source of income for a few guys at Tigerhill 's in the Isle of Wight ..... - # # J ailed for Driving To o Fast in Rain A motorist was left dead after a driver behind a l orry on a motor way decided to overtake",8.42
"The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in the mainly Muslim region. China's government has blamed Uighur militants for several recent attacks - but activists say the violence has been fuelled by Chinese repression. The Uighurs traditionally practice a moderate form of Islam. Recently, though, the influence of stricter forms of the faith from the Gulf and Pakistan has led to more women covering their faces. According to the BBC's Asia Pacific editor, Charles Scanlon, the Chinese authorities regard wearing an Islamic face veil as an act of defiance at a time of growing violence in the region. In August this year, the northern city of Karamay banned men with long beards from boarding buses. Some experts believe such","The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in China, a Muslim-majority nation that also bans the hijab and burqa.

The ""pigskin"" campaign comes as Muslims are being increasingly targeted by hardline Muslim separatists and Islamist extremists in Xinjiang, home to Muslim Uighurs. The campaign appears to have been led by Urumqi police.

The police crackdown on Islamic attire comes just days after Xinjiang officials announced the banning of headscarves in school-related activities.

The China Islamic Lawyer's Association, a private group, said the ban was ""cruel persecution against the Uighurs"".

State security authorities in Xinjiang, which borders Kazakhstan, Tajikistan and Kyrgyzstan and which is home to the Uighur Muslim minority and the government-ruled region of nine million people, have repeatedly banned or severely restricted","The ban was backed by local authorities in Urumqi , state media reported . The move is the latest in a campaign against Islamic clothing and symbols in the mainly Muslim western Xinji ang region . The ban comes a little over a week after riots and unrest in Xinjiang ’ s capital , Urumqi , left nearly 2 00 dead . Official figures estimated that 5 9 46 people were arrested and 1 7 32 were injured during six days of deadly violence in Xinjiang in August , but authorities have yet to issue a final death toll . In an effort to calm tensions between Uighurs and other groups in the country , authorities have tightened control over local Uighurs . The central government has also ordered a review of Islamic material found in all schools . Uighurs have been targeted by U .S . President Donald Trump , who has called for the ban on all Muslims entering the United States . The new restrictions were announced in state-run newspapers on Thursday . The",7.38
"Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an oversight,"" Palmer told BBC Sport. ""The wrong kit box was left in the lorry and taken to the stables."" The Newmarket-based trainer saw Galilieo Gold finish fifth in the Group One Queen Elizabeth II Stakes at Ascot. Horses are only allowed to receive hay-feed or water before a race, but other substances such as electrolytes are permitted post-race. Employees of Palmer and fellow trainers, Francois Rohaut and and Jean-Claude Rouget, as well as the trainers themselves, were interviewed by stewards following a report by the Equine Welfare and Integrity Officer. Palmer is yet to hear what punishment the BHA will hand down. ""I imagine there will be a routine fine for a rule that's been broken,"" he told BBC Radio Berkshire. ""There's no suggestion that anyone was trying to seek an advantage or cheat.","Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an error made. I have apologised to the stewards and they will be the ones to deal with it,"" he said. Despite the fact that he admitted the accident was his fault, he was quick to blame the incident on the weather and the track surface for causing his car to flip while sliding from the inside out. A statement on the Horseracing Authority's website said: ""The incident, which happened on the last lap of the race, showed a breach of Rule 23.2e and resulted in both drivers being punished. The event was later described as a'shocker' by Chief Steward David Walliams.""

""The track was completely wet to the tune of five-hundredths of an inch. The track was soaked throughout the race but in the opening lap of the second race, we got onto the circuit.","Palmer expects to be fined by the British Horseracing Authority ( BHA ) for the rule breach during Champions Day . `` It was an oversight , '' Palmer told Sky News . There is no evidence to suggest Palmer meant to win on L ibrisa Breeze to improve his chances of winning the Godolphin trainer 's title . However , it does mean that Palmer now has an inferior racehorse in his yard rather than his original plan to keep a valuable commodity within his team . So , it is possible , if unlikely , that the Derby winner , Canford Cliffs , will be withdrawn from the race to stop L ibrisa Breeze winning . That would clearly be at odds with the spirit of the event and the BHA have the power to prevent Palmer from entering Canford Cl iffs in the race . It was his first win in the UK in 15 months . '' It does look like a mistake . A lot of people seem to think",7.09
"Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College. But a disciplinary panel ruled contact with the pupil was probably made and her conduct had been ""unacceptable"". On Thursday, the Education Workforce Council imposed the suspension, saying: ""The public interest is in favour of her being able to teach again."" Mrs Hungerford admitted shouting and slamming a book on the desk of the ""provocative and disruptive"" teenager as he listened to rap music in her classroom - but always denied hitting his head. She was cleared, on appeal, of a criminal charge for assaulting the pupil during a maths lesson for those with learning difficulties. But in November, a disciplinary panel found, on the balance of probabilities, she had made physical conduct with the pupil on the head or hand. The panel found she had ""acted in an inappropriate way""","Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil Community Learning Centre in December 2015. The court heard ""there was a considerable amount of noise coming from the room next door"" that evening.

The court heard she had ""alleged that the music that was in the room next door had made them angry due to what was said in the song being sung"".

A spokesman for the education department said it had ""taken a view that the evidence did not provide a realistic prospect of conviction"" and referred the matter back to the Crown Prosecution Service for consideration of whether or not a charge might be brought.

It was reported at the time that the teenager's father was left ""crying with rage"" when he learned of the charges against his son.

Merthyr Tydfil Police said they could not comment because of the ongoing criminal proceedings.","Regina Hungerford , 56 , denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College . But a disciplinary panel ruled contact with the victim 's head had resulted in serious injury requiring 23 stitch es . Mr Justice Collins at Cardiff Crown Court today granted the local authority an order to remove Hngerford from the register for five years and order him to pay costs . The victim said : ' I came to sit on the floor but the teacher was playing a video . ' I asked to leave the room and left but the teacher followed me . 'She struck me to the floor . 'One of the teachers then took me by the scruff of the neck . ' I have been in a lot of pain ... Ы о was in a bad state . ' I couldn 't even walk . ' It was all over the news and we had a couple of days off . ' It was my first",7.03
"She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992. DUP leader Arlene Foster said Mrs O'Neill was wrong to attend, but was not surprised. However, Mrs O'Neill has defended her decision to speak at the event. She said:""There are some who would say we have no right to remember or to honour them, we have absolutely every right. ""Everyone, it doesn't matter who you are, has the right to remember their dead in a respectful and dignified manner."" The four IRA men were shot dead after attacking Coalisland police station. Soldiers opened fire on them as they dumped a lorry used in the machine-gun attack in February 1992. The Ulster Unionist Party's Mid Ulster candidate, Sandra Overend, has criticised Mrs O'Neill for attending the event. ""It is only to be expected that republicans would wish to remember their dead, but Michelle O'Neill's presence at such an event","She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992.

The Royal SAS regiment has denied it shot dead a man in an alleyway near his home

'It is an absolute mistake for the Government to talk about bringing back a second army,' Mrs McBean said.

'You cannot bring back the old army. It's time that we move on. To bring it back is something that needs to be done at a local level not a national one.

'I do feel sorry for the families, especially those that are suffering the aftermath of trauma and then their loved one's who've lost their lives. To be talking about introducing a second army is not going to make the grieving any better.'

The families - who are represented by lawyers acting for the families of those killed in the massacre - have called on the government to ensure the SAS is brought into custody in",She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992 . DUP leader Edwin Poots is reported to have said he will `` hold the Government 's feet to the fire ' to ensure that their names can be removed from the victims ' section of the state memorial Garden of Remembrance in Dublin . She said they should be removed from the register and added there . “ The DUP has been working to remove victims ' names from the Garden of Remembrance in Dublin and it is only now becoming public knowledge that we have been working to remove victims names . “ I have to ask myself would I agree to go to the Garden of Remembrance as an elected member only to stand facing the memorial of those who murdered my husband 's parents and two of his brothers . more info < /s > . She was speaking at an inquest where the,6.44
"Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement plans rapidly"". Inspectors visited the force after criticising its response to government spending cuts last year. Police and Crime Commissioner Olly Martins said the report was ""out of date"". In the HMIC's Policing in Austerity: Meeting the Challenge report last year, Bedfordshire Police was judged to be ""requiring improvement"". Inspectors, who said the force would be ""monitored closely"", returned in October and found it was not performing well compared to similar forces. It highlighted problems in the force control room, although said these should be improved by a recent increase in staff. The report described staffing levels as ""fragile but improving"" and said although there had been recruitment, it was not clear what investment the force had made in","Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement schemes urgently"".

The watchdog said it had inspected 24 force areas between April and June this year.

The report highlighted ""serious issues"" in Northumbria while Lancashire's report was titled: ""Lions are not everywhere"".

The chief inspector for the policing community, Peter Clarke, said: ""Our work to date suggests that in many respects the forces have a very serious capacity issue with respect to both their current and past officers. Some of the major challenge areas that we identified include:

lack of strategic planning and direction for the future of officer training and development

lack of adequate staffing levels for key roles, including leadership roles

lack of flexibility to deal with changing workload

lack of leadership development and recognition of officer strengths and talents.

""In short, in many","Her Majesty 's Inspectorate of Constabulary ( HMIC ) said the force had `` fragile '' staffing levels and needed to `` implement improvement plans rapidly '' . Inspectors visited the force between March - 5 and April , 15 last year . It was inspected in 2007 , but no overall ratings were available at the time . Its staffing had fallen by 11 % since 2006/7 , from 8974 to 805 4 . The report said the number of police contact centre staff had fallen from 170 to 120 between 2005 /6 and 2 010/1 1 . < eos > # # As the number of crimes reported rises , the number of police officers has fallen , from over 25,000 officers in the 1 990s and under 2 2 , 000 in 2010/1 1 to under 1 3 ,00 in 2009/1 2 . There has been a huge expansion of crime areas requiring specialist support . There has also been huge increase in the number of police officers in specialist roles such as intelligence ,",9.43
"Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site is made up of some 40,000 large black basalt columns which protrude from the sea. It was the Royal couple's first visit to Northern Ireland's best known tourist attraction. The causeway formed when molten rock was forced up through fissures in the earth to form a lava plateau. The Queen and Duke of Edinburgh then travelled to the nearby village of Bushmills to commemorate local soldier Robert Quigg. He won a Victoria Cross for bravery during the Battle of the Somme. Sgt Quigg was given the highest military award for valour after going out into the line of fire to search for his commanding officer. The Queen and Duke of Edinburgh unveiled a statue of the soldier as well as a commemorative","Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site, one of the world's largest watercourses, is an important part of Ireland's culture as well as an important resource for tourism.

Belfast Telegraph Digital

The tour was led by Brian, a Sinn Féin councillor in Antrim, who was also given a special briefing on how tourism could be supported while the rest of the county recovers.

""We've got to go out and engage the tourist industry to see what they can do – make them understand that it's a different world from how they thought it was,"" he said.

The tour also took in the Falls of Lough Neagh, the Giant's Causeway, Dungannon Castle Gardens and Cloonmiller Park.

We have got to go out and engage the tourist industry to see what they can do – make","Their first stop on a busy day of public engagements was a tour of the Giant 's Causeway in County Antrim . The Unesco World Heritage Site is made up of nine sections of massive basalt columns . In their next stop to Derry , the couple paid a visit to the historic Protestant church of St Columb ' s , where they attended an evening service before meeting a group of youth leaders taking part in the Year of Youth . The service was a private affair attended by a congregation of just 200 and the Duchess could be seen wiping her face with her sleeve . The couple then visited the Titanic museum in the city . Harry is also keen to visit the Northern Ireland War Memorial while the Cambridges are also expected to watch a short film called A F lying Visit . Prince Charles and Camilla were the only guests at a private dinner , attended by char ity bosses and close family friends . The Royal Party were joined by",6.67
"The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think tank in Sheffield. The government said extra funds were being given to early years providers to help children from poorer backgrounds and close the attainment gap. The report has also detailed a number of ""tests"" or benchmarks for the government's northern powerhouse scheme. Research by the IPPR showed only 47% of children born in the poorest families in the north of England achieved a good level of early years development compared with 59% in London. Its survey also found five northern city-regions combined had almost as many well-qualified individuals (3.6 million) as London (3.7 million) - but the IPPR forecasts demand for skilled workers in the North is set to increase. The IPPR has proposed 11 benchmarks for Chancellor George Osborne's flagship policy to boost regional","The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think-tank at a London reception today (26 May).

According to the report, in 2011-12 the average gap in reading and writing between working-class and most middle-class children in Westminster increased to 9.6.

The report says children living in the poorest neighbourhoods of the city performed better than their counterparts in other areas.

There were only 43 pupils admitted to special homes in Westminster last year and their reading achievement was above average for London, while the average reading achievement of the city's poorest children in Westminster was 3.7 percentage points higher than the average in Oxford and 4.9 points higher than those in the richest areas of London's boroughs.

Pupils were also less likely to be in a school where there was segregation of pupils on racial, ethnic or other grounds.
","The Institute of Public Policy Research ( IPPR ) said London 's poorest children outperformed those in the north . The report is being launched by the centre-left think tank at the 10 :10 climate change campaign in front of an expected 20 , 000 people and a live webcast of Prime Minister Gordon Brown 's speech . The IPPR 's report said education is vital to the green economy , but stressed its concern over children 's access to early-years care and education . It also said that , with funding cut from the early years sector , there ' s now more chance that these children , who are likely to be at risk of educational disadvantage , will miss out even if they do secure places . The report found g that , the best chance to increase life chances , are children growing up in homes where there are high numbers of books and where children are read to every day . IPPR said children of professional parents are read to every day ,",7.12
"North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday, 3 December. ""I read some reports he must finish and stop playing. He doesn't want to be treated like that,"" Mallinder said. ""All George wants to do is get back and play rugby."" The Wales international previously had a six-month spell out of the game after suffering a series of blows to the head during matches, including a serious concussion when scoring a try against Wasps in March 2015. Media playback is not supported on this device The former Scarlets winger will sit out Northampton's game against Sale Sharks on Boxing Day because of the incident, despite saying he was not knocked out. ""He","North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday.

North had to be carried off the field by the Tigers' medical staff as he lay motionless on the field. He went straight to hospital for further checks. Newcastle's captain, Danny Simpson, described his injury as a ""stupid freak accident"". The club have given North a week off to recover from the concussion he suffered prior to the game.

Northampton had been hoping North would have played on against Leicester.

Northampton head coach Jim Mallinder said: ""Daniel has got very badly hurt. He's got a concussion but we anticipate we can get him better and back.""

Northampton director of rugby Jim Mallinder on Jack Nowell's try against Leicester.","North , 24 , landed on his head after a high tackle from Adam Thompstone in his side 's 19-11 defeat against Leicester Tigers on Saturday , 3 December . Doctors were forced to treat the prop for a bleed on the brain after the tackle and he is now recovering from the long-term effects of his horrific incident in hospital . C ronk 's brother , Chris Murch , took to t wo social media sites to reveal that his brother had passed away after several days in hospital , The report , quoting Chris , said : `` It is with great sadness that N orn a l P m ur ch has passed a w a y `` . `` He was always a massive character w ith a z e for life and a smile that w as infectious as it was genuine `` . North ' s team-mate , Dan Lancaster , who was sent off during the same match , has paid t ribute to his old t ig e r , saying",7.55
"Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, in his first season in county cricket, refused to say if his hand had been forced by Cricket South Africa. ""Maybe, maybe not,"" he told BBC Sport. ""I think that story is one I'm going to tell at a different time."" Kolpak contracts allow sportsmen from countries with associate trade agreements with the European Union to be afforded the same right to free movement as EU citizens. They are not classed as overseas players under the terms of their contracts, but they become ineligible to represent their country at international level. Abbott and Rossouw's decisions came before Britain's exit from the European Union and they are among several South Africans to make the switch ahead of the new domestic season. Among the others, all-rounder Simon Harmer","Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, a talented right-handed legspinner - a skill that helped keep the tourists in the contest - was dismissed for just three with the new ball on the second day in the four-Test series against Sri Lanka, and was followed in the same ODI by a duck.

The news that the other seamer, Abbott, would retire was greeted with a sigh of relief by England's supporters, who have been growing increasingly frustrated with the lack of batsmanship from the two left-arm spinners. The pair struggled on the grounds of bowling both fast and slow (Abbott's slow spells averaged 3.60 and 5.70 respectively), and looked outclassed and ineffective.

In March, captain Alastair Cook said both his No.10 and his No.6 could make a comeback to help the team. He subsequently","Seamer Abbott , 29 , and top-order batsman Rossouw , 27 , confirmed their international retirements in January . Rossouw , in his first season in county cricket , refused to play for Yorkshire , where they felt he had a chance to break into their squad . This is the latest twist in a long-standing saga between Yorkshire and another English county club , Hampshire . 2-3 and a top-up win over a Leeds side who batted cheaply on a slow wicket . This meant that Rossouw had not played any competitive cricket for six weeks . He will now be joining former international teammate Morné Morkel at Essex . Yorkshire said that it regretted Rossouw 's decision . “ Hampshire have been keen to sign Rossouw for a while and we had to get the best deal for him . To get that , we ’ d look at the bigger picture and have to say no . Rossouw would have got a place in their side . ” Yorkshire said that Rossouw �",7.04
