original,sampled,completed,time-4-model
"Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash on a B-road in Wiltshire. Gareth Hicks, 24, suffered fatal injuries when the van he was asleep in was hit by Mr Scott's Audi A6. Maj Scott denies a charge of causing death by careless driving. Prosecutor Charles Gabb alleged the defendant, from Green Lane in Shepperton, Surrey, had crossed the carriageway of the 60mph-limit B390 in Shrewton near Amesbury. The weather was ""awful"" and there was strong wind and rain, he told jurors. He said Mr Scott's car was described as ""twitching"" and ""may have been aquaplaning"" before striking the first vehicle; a BMW driven by Craig Reed. Mr Scott's Audi then returned to his side of the road but crossed the carriageway again before colliding head-on with a Ford Transit van","Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash.

His lawyer said he felt ""really embarrassed"", but added that his client had not been driving dangerously at the time of the crash.

Mr Scott's car spun out after the crash on the M2 toll road near Milton Keynes, Buckinghamshire, near to the town of Luton.

Image copyright Sussex Police Image caption Richard Scott, from Maidstone, Kent, was arrested on suspicion of drink driving and driving his car into a car being driven by Mark Davies

The 42-year-old Mr Davies, from Luton, was taken to hospital with ""life-threatening injuries"", police said.

Media playback is unsupported on your device Media caption Footage showed the car spinning away from the crash

""We have spoken in the past with Mr Scott and his lawyers about the dangers of speeding in heavy rain","Maj Richard Scott , 40 , is accused of driving at speeds of up to 95mph ( 153km/h ) in bad weather before the smash on a B-road in Wiltshire .He is charged with causing death by dangerous driving , and driving a motor vehicle in a dangerous condition . A motor cyclist in his 40 s was killed and a passenger suffered serious injuries when the HGV collided with a car on the A36 on January 31 .It was dark and foggy and visibility was severely reduced . The charge states that a tyre on the lorry had come off . It adds : `` The victim was over taken by the lorry and was flung from the vehicle into the road and suffered catastroph ic injuries . `` After the crash , there is alleg edly no evidence of a tyre present on the nears ide of the L orry at the scene . `` Mr G ately is also accused of f lout ing health and safety regulations by contraven",9.32
"The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in the mainly Muslim region. China's government has blamed Uighur militants for several recent attacks - but activists say the violence has been fuelled by Chinese repression. The Uighurs traditionally practice a moderate form of Islam. Recently, though, the influence of stricter forms of the faith from the Gulf and Pakistan has led to more women covering their faces. According to the BBC's Asia Pacific editor, Charles Scanlon, the Chinese authorities regard wearing an Islamic face veil as an act of defiance at a time of growing violence in the region. In August this year, the northern city of Karamay banned men with long beards from boarding buses. Some experts believe such","The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in China, a Muslim-majority nation that also bans the hijab and burqa.

The ""pigskin"" campaign comes as Muslims are being increasingly targeted by hardline Muslim separatists and Islamist extremists in Xinjiang, home to Muslim Uighurs. The campaign appears to have been led by Urumqi police.

The police crackdown on Islamic attire comes just days after Xinjiang officials announced the banning of headscarves in school-related activities.

The China Islamic Lawyer's Association, a private group, said the ban was ""cruel persecution against the Uighurs"".

State security authorities in Xinjiang, which borders Kazakhstan, Tajikistan and Kyrgyzstan and which is home to the Uighur Muslim minority and the government-ruled region of nine million people, have repeatedly banned or severely restricted","The ban was backed by local authorities in Urumqi , state media reported . The move is the latest in a campaign against Islamic clothing and symbols in the mainly Han Chinese city . Women there have been banned from we aving `` traditional '' garb that includes the veil and the hijab . German Chan cellory Chancellor ' s Angela Merkel has been praised by Muslim groups on Thursday for speaking out against an in creased attack on the ni gt . A police inspector and two officers have been dismissed for beating a suspect and for `` causing the serious injury of ( him ) `` . The inspector received 18 months in prison , while the two ser geants - who are currently in police custody - will appear before court later . `` This case must be dealt with seriously as it rel a tes deeply to the credibility of the police and the judicial organs , `` He added . One of the main suspect neds to be brought for trial",7.76
"Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an oversight,"" Palmer told BBC Sport. ""The wrong kit box was left in the lorry and taken to the stables."" The Newmarket-based trainer saw Galilieo Gold finish fifth in the Group One Queen Elizabeth II Stakes at Ascot. Horses are only allowed to receive hay-feed or water before a race, but other substances such as electrolytes are permitted post-race. Employees of Palmer and fellow trainers, Francois Rohaut and and Jean-Claude Rouget, as well as the trainers themselves, were interviewed by stewards following a report by the Equine Welfare and Integrity Officer. Palmer is yet to hear what punishment the BHA will hand down. ""I imagine there will be a routine fine for a rule that's been broken,"" he told BBC Radio Berkshire. ""There's no suggestion that anyone was trying to seek an advantage or cheat.","Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an error made. I have apologised to the stewards and they will be the ones to deal with it,"" he said. Despite the fact that he admitted the accident was his fault, he was quick to blame the incident on the weather and the track surface for causing his car to flip while sliding from the inside out. A statement on the Horseracing Authority's website said: ""The incident, which happened on the last lap of the race, showed a breach of Rule 23.2e and resulted in both drivers being punished. The event was later described as a'shocker' by Chief Steward David Walliams.""

""The track was completely wet to the tune of five-hundredths of an inch. The track was soaked throughout the race but in the opening lap of the second race, we got onto the circuit.","Palmer expects to be fined by the British Horseracing Authority ( BHA ) for the rule breach during Champions Day . `` It was an oversight , '' Palmer told BBC Sport . `` I 'm not sure how it happened , especially after what happened last time , but it 's something that the BHA needs to look into . `` He added : `` I ... Palmer said : `` It was a human error , `` Palmer said : `` It was a human error . `` He admitted : `` I was gutted as we had a massive chance of winning the race - I ' ve really put my horse into this race and it paid off , but we needed a few more yards . But it was still an amazing day . `` He pointed out : `` I had the joc keys training to keep an eye on me , but they were in the wrong place in my trailer . `` He said that he did n't mean",7.24
"Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College. But a disciplinary panel ruled contact with the pupil was probably made and her conduct had been ""unacceptable"". On Thursday, the Education Workforce Council imposed the suspension, saying: ""The public interest is in favour of her being able to teach again."" Mrs Hungerford admitted shouting and slamming a book on the desk of the ""provocative and disruptive"" teenager as he listened to rap music in her classroom - but always denied hitting his head. She was cleared, on appeal, of a criminal charge for assaulting the pupil during a maths lesson for those with learning difficulties. But in November, a disciplinary panel found, on the balance of probabilities, she had made physical conduct with the pupil on the head or hand. The panel found she had ""acted in an inappropriate way""","Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil Community Learning Centre in December 2015. The court heard ""there was a considerable amount of noise coming from the room next door"" that evening.

The court heard she had ""alleged that the music that was in the room next door had made them angry due to what was said in the song being sung"".

A spokesman for the education department said it had ""taken a view that the evidence did not provide a realistic prospect of conviction"" and referred the matter back to the Crown Prosecution Service for consideration of whether or not a charge might be brought.

It was reported at the time that the teenager's father was left ""crying with rage"" when he learned of the charges against his son.

Merthyr Tydfil Police said they could not comment because of the ongoing criminal proceedings.","Regina Hungerford , 56 , denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College . But a disciplinary panel ruled contact with the unmarked pad of her foot was `` unreasonable '' - adding that she acted in a way that could be perceived as an assault . But Justice Roberts , sitting alone for his first criminal case in the Crown Court , rejected the claim . He told her : ... S ustained and forceful behavior on the part of a teacher who was also ... and a young man listening to his music player in the classroom is unusual behaviour that can not be justified in a school setting ... He added ... She must have intended to strike the student at least , if not to cause bodily harm . Mr Justice Roberts told Ms Hungerford : ... you have been told this morning that there are clear rules - whether it is in the classroom or not - that should guide any behaviour",7.43
"She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992. DUP leader Arlene Foster said Mrs O'Neill was wrong to attend, but was not surprised. However, Mrs O'Neill has defended her decision to speak at the event. She said:""There are some who would say we have no right to remember or to honour them, we have absolutely every right. ""Everyone, it doesn't matter who you are, has the right to remember their dead in a respectful and dignified manner."" The four IRA men were shot dead after attacking Coalisland police station. Soldiers opened fire on them as they dumped a lorry used in the machine-gun attack in February 1992. The Ulster Unionist Party's Mid Ulster candidate, Sandra Overend, has criticised Mrs O'Neill for attending the event. ""It is only to be expected that republicans would wish to remember their dead, but Michelle O'Neill's presence at such an event","She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992.

The Royal SAS regiment has denied it shot dead a man in an alleyway near his home

'It is an absolute mistake for the Government to talk about bringing back a second army,' Mrs McBean said.

'You cannot bring back the old army. It's time that we move on. To bring it back is something that needs to be done at a local level not a national one.

'I do feel sorry for the families, especially those that are suffering the aftermath of trauma and then their loved one's who've lost their lives. To be talking about introducing a second army is not going to make the grieving any better.'

The families - who are represented by lawyers acting for the families of those killed in the massacre - have called on the government to ensure the SAS is brought into custody in",She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992 . DUP leader Arlene F oster has urged a probe into alleg ations of “ un speakable barbarity ” against the I ri sh R e mi n e y community . The report into the murder of former Ulster Workers Union leader John Bingham in Lisbellaw last September has found there were ” wides pread and system ati c ” allegations of 16 assaults and at least one other murder – and that 3 0-year- older man who was convicted was innoc en t. An alleged victim who claimed he was arrested by SAS operatives had � n no evidence to corroborate his al l egation . And there were also suggestions that there was � n no independent or contemporaneous evidence that t he men � n e y d their lives while being taken for questioning . In a statement issued to the B,8.19
"Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement plans rapidly"". Inspectors visited the force after criticising its response to government spending cuts last year. Police and Crime Commissioner Olly Martins said the report was ""out of date"". In the HMIC's Policing in Austerity: Meeting the Challenge report last year, Bedfordshire Police was judged to be ""requiring improvement"". Inspectors, who said the force would be ""monitored closely"", returned in October and found it was not performing well compared to similar forces. It highlighted problems in the force control room, although said these should be improved by a recent increase in staff. The report described staffing levels as ""fragile but improving"" and said although there had been recruitment, it was not clear what investment the force had made in","Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement schemes urgently"".

The watchdog said it had inspected 24 force areas between April and June this year.

The report highlighted ""serious issues"" in Northumbria while Lancashire's report was titled: ""Lions are not everywhere"".

The chief inspector for the policing community, Peter Clarke, said: ""Our work to date suggests that in many respects the forces have a very serious capacity issue with respect to both their current and past officers. Some of the major challenge areas that we identified include:

lack of strategic planning and direction for the future of officer training and development

lack of adequate staffing levels for key roles, including leadership roles

lack of flexibility to deal with changing workload

lack of leadership development and recognition of officer strengths and talents.

""In short, in many","Her Majesty 's Inspectorate of Constabulary ( HMIC ) said the force had `` fragile '' staffing levels and needed to `` implement improvement plans rapidly '' . Inspectors visited 105 stations to assess fire and rescue service delivery and found significant variation in standards . The report found that fire safety awareness among the general public was `` low `` , and that the force had a `` high level of staff absence '' ... B CP Fire and Rescue Service - 2 006 Annual Report . https : //www .hse . gov . uk /pubns / reports/ann ual/fireand rescue20 06 . pdf . [ Accessed 6 November 201 1 ] K err D . The state of fire stations in the United Kingdom : implications for the prevention of occupational cancer and ill -health . Occup ational Medicine 2 2002 , pp . 4 - 6 . N owland J . Fire and rescue service in Scotland - key findings of a local government and public service research project . Final Project Report . April",9.79
"Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site is made up of some 40,000 large black basalt columns which protrude from the sea. It was the Royal couple's first visit to Northern Ireland's best known tourist attraction. The causeway formed when molten rock was forced up through fissures in the earth to form a lava plateau. The Queen and Duke of Edinburgh then travelled to the nearby village of Bushmills to commemorate local soldier Robert Quigg. He won a Victoria Cross for bravery during the Battle of the Somme. Sgt Quigg was given the highest military award for valour after going out into the line of fire to search for his commanding officer. The Queen and Duke of Edinburgh unveiled a statue of the soldier as well as a commemorative","Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site, one of the world's largest watercourses, is an important part of Ireland's culture as well as an important resource for tourism.

Belfast Telegraph Digital

The tour was led by Brian, a Sinn Féin councillor in Antrim, who was also given a special briefing on how tourism could be supported while the rest of the county recovers.

""We've got to go out and engage the tourist industry to see what they can do – make them understand that it's a different world from how they thought it was,"" he said.

The tour also took in the Falls of Lough Neagh, the Giant's Causeway, Dungannon Castle Gardens and Cloonmiller Park.

We have got to go out and engage the tourist industry to see what they can do – make","Their first stop on a busy day of public engagements was a tour of the Giant 's Causeway in County Antrim . The Unesco World Heritage Site is made up of about 4 ,500 stone columns that rise up from the Atlantic Ocean . But it 's not the stone columns that made the Duke and Duchess starstruck . It 's what 's hidden underneath them , said Kens ington Palace 's twitter account : `` The visit is over after the d uchs and Duke see the stone column below . `` When Queen Elizabeth first visited Northern Ireland in 196 5 , the Duke and Duchess say : `` She took us to the G iant 's Causeway , which is a mile from the beach where we are . `` Queen Elizabeth then commented : `` It ' s a mile from where we 're standing and I didn 't bring you for the scenery . The day was a busy one for the couple . After the tour , the",8.43
"The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think tank in Sheffield. The government said extra funds were being given to early years providers to help children from poorer backgrounds and close the attainment gap. The report has also detailed a number of ""tests"" or benchmarks for the government's northern powerhouse scheme. Research by the IPPR showed only 47% of children born in the poorest families in the north of England achieved a good level of early years development compared with 59% in London. Its survey also found five northern city-regions combined had almost as many well-qualified individuals (3.6 million) as London (3.7 million) - but the IPPR forecasts demand for skilled workers in the North is set to increase. The IPPR has proposed 11 benchmarks for Chancellor George Osborne's flagship policy to boost regional","The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think-tank at a London reception today (26 May).

According to the report, in 2011-12 the average gap in reading and writing between working-class and most middle-class children in Westminster increased to 9.6.

The report says children living in the poorest neighbourhoods of the city performed better than their counterparts in other areas.

There were only 43 pupils admitted to special homes in Westminster last year and their reading achievement was above average for London, while the average reading achievement of the city's poorest children in Westminster was 3.7 percentage points higher than the average in Oxford and 4.9 points higher than those in the richest areas of London's boroughs.

Pupils were also less likely to be in a school where there was segregation of pupils on racial, ethnic or other grounds.
","The Institute of Public Policy Research ( IPPR ) said London 's poorest children outperformed those in the north . The report is being launched by the centre-left think tank , which advocates more public spending , including more free nursery places . The IPPR , which is an alternative voice outside the traditional political parties , says it is necessary for London authorities to extend free nursery places to three and four- year-olds , as well as pre -schoolers , because of the regional divide in school results . The report , titled ' London 's inequality time bomb ' , also argues for more investment by the government in London 's children . ' London is a region of astonishing contrasts . Where children from the richest families get a third more chance of securing a good place at university and the highest wages when they get there , even though their parents have fewer skills , , children with the least opportunities grow up with half as many . For instance , just half",7.37
"North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday, 3 December. ""I read some reports he must finish and stop playing. He doesn't want to be treated like that,"" Mallinder said. ""All George wants to do is get back and play rugby."" The Wales international previously had a six-month spell out of the game after suffering a series of blows to the head during matches, including a serious concussion when scoring a try against Wasps in March 2015. Media playback is not supported on this device The former Scarlets winger will sit out Northampton's game against Sale Sharks on Boxing Day because of the incident, despite saying he was not knocked out. ""He","North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday.

North had to be carried off the field by the Tigers' medical staff as he lay motionless on the field. He went straight to hospital for further checks. Newcastle's captain, Danny Simpson, described his injury as a ""stupid freak accident"". The club have given North a week off to recover from the concussion he suffered prior to the game.

Northampton had been hoping North would have played on against Leicester.

Northampton head coach Jim Mallinder said: ""Daniel has got very badly hurt. He's got a concussion but we anticipate we can get him better and back.""

Northampton director of rugby Jim Mallinder on Jack Nowell's try against Leicester.","North , 24 , landed on his head after a high tackle from Adam Thompstone in his side 's 19-11 defeat against Leicester Tigers on Saturday , 3 December . Gomez then left the pitch in pain and was stretchered back to the changing rooms . It has since emerged that the tackle has triggered head injuries and this has led to the Sale Sharks player being dropped from England 's Autumn Internation als campaign . `` He suffered a head injury and although he returned to the field , a scan showed that there was a blood clot on his brain , `` explained Sharks director of sport Mike Te ague . `` That is why it was felt he should be rested . He wants to be back for Sale as he is frustrated at being out . `` The Sh a rks spokesman continues . `` He is getting over the worst of the head injury . He is still a little d rowsy in the morning but is fine the rest of the",8.25
"Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, in his first season in county cricket, refused to say if his hand had been forced by Cricket South Africa. ""Maybe, maybe not,"" he told BBC Sport. ""I think that story is one I'm going to tell at a different time."" Kolpak contracts allow sportsmen from countries with associate trade agreements with the European Union to be afforded the same right to free movement as EU citizens. They are not classed as overseas players under the terms of their contracts, but they become ineligible to represent their country at international level. Abbott and Rossouw's decisions came before Britain's exit from the European Union and they are among several South Africans to make the switch ahead of the new domestic season. Among the others, all-rounder Simon Harmer","Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, a talented right-handed legspinner - a skill that helped keep the tourists in the contest - was dismissed for just three with the new ball on the second day in the four-Test series against Sri Lanka, and was followed in the same ODI by a duck.

The news that the other seamer, Abbott, would retire was greeted with a sigh of relief by England's supporters, who have been growing increasingly frustrated with the lack of batsmanship from the two left-arm spinners. The pair struggled on the grounds of bowling both fast and slow (Abbott's slow spells averaged 3.60 and 5.70 respectively), and looked outclassed and ineffective.

In March, captain Alastair Cook said both his No.10 and his No.6 could make a comeback to help the team. He subsequently","Seamer Abbott , 29 , and top-order batsman Rossouw , 27 , confirmed their international retirements in January . Rossouw , in his first season in county cricket , refused to bat in a game at Worcester shire CCC earlier this month and claimed he made himself un available to play because he felt “ emotionally drained ” . “ I ’ ve done this too , ” he said . “ You sometimes have to play the mental games first to get yourself through the emotional part . “ It ’ s the most testing time of my life . I ’ ve been there for the past three months . I ’ ve tried to make myself unavailable for selection in that way . ” On his decision to turn pro at 37 , Rossouw ’ s wife said : “ He ’ s been doing it for three months but I ’ m just a little bit happier that he finally has decided it � and it ’ s more of a",7.71
