original,sampled,completed,time-4-model
"Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash on a B-road in Wiltshire. Gareth Hicks, 24, suffered fatal injuries when the van he was asleep in was hit by Mr Scott's Audi A6. Maj Scott denies a charge of causing death by careless driving. Prosecutor Charles Gabb alleged the defendant, from Green Lane in Shepperton, Surrey, had crossed the carriageway of the 60mph-limit B390 in Shrewton near Amesbury. The weather was ""awful"" and there was strong wind and rain, he told jurors. He said Mr Scott's car was described as ""twitching"" and ""may have been aquaplaning"" before striking the first vehicle; a BMW driven by Craig Reed. Mr Scott's Audi then returned to his side of the road but crossed the carriageway again before colliding head-on with a Ford Transit van","Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash.

His lawyer said he felt ""really embarrassed"", but added that his client had not been driving dangerously at the time of the crash.

Mr Scott's car spun out after the crash on the M2 toll road near Milton Keynes, Buckinghamshire, near to the town of Luton.

Image copyright Sussex Police Image caption Richard Scott, from Maidstone, Kent, was arrested on suspicion of drink driving and driving his car into a car being driven by Mark Davies

The 42-year-old Mr Davies, from Luton, was taken to hospital with ""life-threatening injuries"", police said.

Media playback is unsupported on your device Media caption Footage showed the car spinning away from the crash

""We have spoken in the past with Mr Scott and his lawyers about the dangers of speeding in heavy rain","Maj Richard Scott , 40 , is accused of driving at speeds of up to 95mph ( 153km/h ) in bad weather before the smash on a B-road in Wiltshire .He is charged with causing the August 14 , 2015 collision which injured his girlfriend and two other women , one of whom was left with severe head injuries and remains in a coma . The driver was arrested after a passer -by witnessed his Mercedes Benz colliding with a parked Jaguar and called the emergency services .Mr Scott , a pilot with the Queen 's Royal Air Force , was charged at Swindon Magistrates ' Court this month , and is suspended from flying . The court heard at his first hearing that Mr Scott , of High Wycom bes , Bucking Hamp , is alleged to have driven the vehicle at a rate exceeding 60 mph in excess of the speed limit on a surface of water , oil or ice . He is also said to have driven a motor",10.51
"The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in the mainly Muslim region. China's government has blamed Uighur militants for several recent attacks - but activists say the violence has been fuelled by Chinese repression. The Uighurs traditionally practice a moderate form of Islam. Recently, though, the influence of stricter forms of the faith from the Gulf and Pakistan has led to more women covering their faces. According to the BBC's Asia Pacific editor, Charles Scanlon, the Chinese authorities regard wearing an Islamic face veil as an act of defiance at a time of growing violence in the region. In August this year, the northern city of Karamay banned men with long beards from boarding buses. Some experts believe such","The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in China, a Muslim-majority nation that also bans the hijab and burqa.

The ""pigskin"" campaign comes as Muslims are being increasingly targeted by hardline Muslim separatists and Islamist extremists in Xinjiang, home to Muslim Uighurs. The campaign appears to have been led by Urumqi police.

The police crackdown on Islamic attire comes just days after Xinjiang officials announced the banning of headscarves in school-related activities.

The China Islamic Lawyer's Association, a private group, said the ban was ""cruel persecution against the Uighurs"".

State security authorities in Xinjiang, which borders Kazakhstan, Tajikistan and Kyrgyzstan and which is home to the Uighur Muslim minority and the government-ruled region of nine million people, have repeatedly banned or severely restricted","The ban was backed by local authorities in Urumqi , state media reported . The move is the latest in a campaign against Islamic clothing and symbols in the mainly Buddhist country . China and the UN General Assembly passed a resolution condemning Islamic veils on Tuesday . A judge has given author Salman Rushdie a knigh - t . . , the judge said on Tuesday , following a complaint by the author in 20 11 of harassment and threats to police by Muslim fans . Rush die lives in New York but was arrested in Great Britain in 19 19 on terrorism charges . He was released on bail after a judge warned Rush di e not to attend public meetings , the judge said . He said R ush die could leave Britain - `` on pain of imprisonment and deportation. `` A bus and a school bus have collided in the city of Xuzhou in eastern China . Police have recovered three bodies . The Chinese government released t",9.14
"Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an oversight,"" Palmer told BBC Sport. ""The wrong kit box was left in the lorry and taken to the stables."" The Newmarket-based trainer saw Galilieo Gold finish fifth in the Group One Queen Elizabeth II Stakes at Ascot. Horses are only allowed to receive hay-feed or water before a race, but other substances such as electrolytes are permitted post-race. Employees of Palmer and fellow trainers, Francois Rohaut and and Jean-Claude Rouget, as well as the trainers themselves, were interviewed by stewards following a report by the Equine Welfare and Integrity Officer. Palmer is yet to hear what punishment the BHA will hand down. ""I imagine there will be a routine fine for a rule that's been broken,"" he told BBC Radio Berkshire. ""There's no suggestion that anyone was trying to seek an advantage or cheat.","Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an error made. I have apologised to the stewards and they will be the ones to deal with it,"" he said. Despite the fact that he admitted the accident was his fault, he was quick to blame the incident on the weather and the track surface for causing his car to flip while sliding from the inside out. A statement on the Horseracing Authority's website said: ""The incident, which happened on the last lap of the race, showed a breach of Rule 23.2e and resulted in both drivers being punished. The event was later described as a'shocker' by Chief Steward David Walliams.""

""The track was completely wet to the tune of five-hundredths of an inch. The track was soaked throughout the race but in the opening lap of the second race, we got onto the circuit.","Palmer expects to be fined by the British Horseracing Authority ( BHA ) for the rule breach during Champions Day . `` It was an oversight , '' Palmer told racingpost . `` I should 've taken more care of it and , as a result , will face some sanctions from the governing body for this one '' . It was announced late last month that the BHA had referred Pal mers to his own ... Rory McIlroy and Francesco Mol inari Jr shared the final round of the Ryder Cup but it was Europe who will regain the cup on Sunday . McIl roy and Mol inari Jr carded six under par rounds , both with a final round birdie to help Europe record a record 1 9 1 3 victory over the USA . McIlroy , the world no 1 from Down . Ireland in a two horse race in the bet ting with ... Tiger Wood and Phil Mic hael took their own final round victories in 2",9.28
"Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College. But a disciplinary panel ruled contact with the pupil was probably made and her conduct had been ""unacceptable"". On Thursday, the Education Workforce Council imposed the suspension, saying: ""The public interest is in favour of her being able to teach again."" Mrs Hungerford admitted shouting and slamming a book on the desk of the ""provocative and disruptive"" teenager as he listened to rap music in her classroom - but always denied hitting his head. She was cleared, on appeal, of a criminal charge for assaulting the pupil during a maths lesson for those with learning difficulties. But in November, a disciplinary panel found, on the balance of probabilities, she had made physical conduct with the pupil on the head or hand. The panel found she had ""acted in an inappropriate way""","Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil Community Learning Centre in December 2015. The court heard ""there was a considerable amount of noise coming from the room next door"" that evening.

The court heard she had ""alleged that the music that was in the room next door had made them angry due to what was said in the song being sung"".

A spokesman for the education department said it had ""taken a view that the evidence did not provide a realistic prospect of conviction"" and referred the matter back to the Crown Prosecution Service for consideration of whether or not a charge might be brought.

It was reported at the time that the teenager's father was left ""crying with rage"" when he learned of the charges against his son.

Merthyr Tydfil Police said they could not comment because of the ongoing criminal proceedings.","Regina Hungerford , 56 , denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College . But a disciplinary panel ruled contact with the student 's hand was deliberate and ordered her to pay him £400 and complete a compulsory stress management course . The teacher left the county and is now working as a supply teacher in Cardiff . It is thought she has not been formally sacked and may be still paid . A panel at the General Teaching Council for Wales , sitting in Cardiff and chaired by a retired teacher of 18 years , said she admitted ' deliberately and with the intention of assault ' touching the student with her right hand . They found her culpable of miscon duct in accord ance with the student but said the level of force would probably have been small . They could not say if the incident occurred while the student was holding a pen in his right hand and she allegedly held",9.06
"She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992. DUP leader Arlene Foster said Mrs O'Neill was wrong to attend, but was not surprised. However, Mrs O'Neill has defended her decision to speak at the event. She said:""There are some who would say we have no right to remember or to honour them, we have absolutely every right. ""Everyone, it doesn't matter who you are, has the right to remember their dead in a respectful and dignified manner."" The four IRA men were shot dead after attacking Coalisland police station. Soldiers opened fire on them as they dumped a lorry used in the machine-gun attack in February 1992. The Ulster Unionist Party's Mid Ulster candidate, Sandra Overend, has criticised Mrs O'Neill for attending the event. ""It is only to be expected that republicans would wish to remember their dead, but Michelle O'Neill's presence at such an event","She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992.

The Royal SAS regiment has denied it shot dead a man in an alleyway near his home

'It is an absolute mistake for the Government to talk about bringing back a second army,' Mrs McBean said.

'You cannot bring back the old army. It's time that we move on. To bring it back is something that needs to be done at a local level not a national one.

'I do feel sorry for the families, especially those that are suffering the aftermath of trauma and then their loved one's who've lost their lives. To be talking about introducing a second army is not going to make the grieving any better.'

The families - who are represented by lawyers acting for the families of those killed in the massacre - have called on the government to ensure the SAS is brought into custody in","She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992 . DUP leader Arlene Foster was also present at the commemoration for Thomas and John Finn , both from Bally gawley , and Patrick Joseph “ P atsy ” O ’ H agan , Patrick John McDa id , both from Kilrea , who were shot dead by the SAS near Clonoe on December 21 1992 . The four men were in possession of weapons during a firear ms ... See MoreSee Less S ajid J afar , Michael McCall ion , Martin McGuinness , P atsy F earon , Arlene Foster , Fiona O ’ G orm a l lay MP – all on this podcast . ( ) D uhallow TD – 5 63 Duhallow TD – 5 61 Posted by duhal low TD on S atu arday , 1 April 2012 at 11 : 0 8AM F ui i ni d O ’ f ah",11.88
"Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement plans rapidly"". Inspectors visited the force after criticising its response to government spending cuts last year. Police and Crime Commissioner Olly Martins said the report was ""out of date"". In the HMIC's Policing in Austerity: Meeting the Challenge report last year, Bedfordshire Police was judged to be ""requiring improvement"". Inspectors, who said the force would be ""monitored closely"", returned in October and found it was not performing well compared to similar forces. It highlighted problems in the force control room, although said these should be improved by a recent increase in staff. The report described staffing levels as ""fragile but improving"" and said although there had been recruitment, it was not clear what investment the force had made in","Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement schemes urgently"".

The watchdog said it had inspected 24 force areas between April and June this year.

The report highlighted ""serious issues"" in Northumbria while Lancashire's report was titled: ""Lions are not everywhere"".

The chief inspector for the policing community, Peter Clarke, said: ""Our work to date suggests that in many respects the forces have a very serious capacity issue with respect to both their current and past officers. Some of the major challenge areas that we identified include:

lack of strategic planning and direction for the future of officer training and development

lack of adequate staffing levels for key roles, including leadership roles

lack of flexibility to deal with changing workload

lack of leadership development and recognition of officer strengths and talents.

""In short, in many","Her Majesty 's Inspectorate of Constabulary ( HMIC ) said the force had `` fragile '' staffing levels and needed to `` implement improvement plans rapidly '' . Inspectors visited eight police stations including Kirkint illoch , Renfew and Barrhead and found all lacking a basic level of resourcing with no front coun ters open on one Sunday . Police Scotland is required to have a minimum of 21 front counters open on Saturdays and Sundays . Inspectors were told that staffing levels will not return to normal levels again for seven months but by then there will be 2 , 904 officers and only 36 9 PCSO s . It said the force had also failed to properly use its limited resources to combat the theft of cash and electronic equipment from shops and homes . The report stated : `` Our concern is that the fragile state of the workforce will reduce the force ’ s ability to implement the improvement plans laid out in its 2 013 /14 action",9.01
"Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site is made up of some 40,000 large black basalt columns which protrude from the sea. It was the Royal couple's first visit to Northern Ireland's best known tourist attraction. The causeway formed when molten rock was forced up through fissures in the earth to form a lava plateau. The Queen and Duke of Edinburgh then travelled to the nearby village of Bushmills to commemorate local soldier Robert Quigg. He won a Victoria Cross for bravery during the Battle of the Somme. Sgt Quigg was given the highest military award for valour after going out into the line of fire to search for his commanding officer. The Queen and Duke of Edinburgh unveiled a statue of the soldier as well as a commemorative","Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site, one of the world's largest watercourses, is an important part of Ireland's culture as well as an important resource for tourism.

Belfast Telegraph Digital

The tour was led by Brian, a Sinn Féin councillor in Antrim, who was also given a special briefing on how tourism could be supported while the rest of the county recovers.

""We've got to go out and engage the tourist industry to see what they can do – make them understand that it's a different world from how they thought it was,"" he said.

The tour also took in the Falls of Lough Neagh, the Giant's Causeway, Dungannon Castle Gardens and Cloonmiller Park.

We have got to go out and engage the tourist industry to see what they can do – make","Their first stop on a busy day of public engagements was a tour of the Giant 's Causeway in County Antrim . The Unesco World Heritage Site is made up of the main path of basalt columns that stretch from Northern Ireland to the Republic . The natural phen onmy is said to have been formed over 60 million years ago. Meghan looked lovely in a coat from her `` Suits '' character Rach ael Zane in American television show Suits . The duch ess looked elegant in a royal blue Alexander Mc Queen mid -length coat , which she teamed with a white Vila blouse tucked into a ple at skirt from DVF and Rayne . She accessor is with a pair of black Aquazzura Deneuve suede bo otees . The duche s s had a busy day of engagements with more planned for the rest of the week , including a visit to a school run by the Prince 's Trust tomorrow and a working l unc h with the Prime Minister",10.59
"The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think tank in Sheffield. The government said extra funds were being given to early years providers to help children from poorer backgrounds and close the attainment gap. The report has also detailed a number of ""tests"" or benchmarks for the government's northern powerhouse scheme. Research by the IPPR showed only 47% of children born in the poorest families in the north of England achieved a good level of early years development compared with 59% in London. Its survey also found five northern city-regions combined had almost as many well-qualified individuals (3.6 million) as London (3.7 million) - but the IPPR forecasts demand for skilled workers in the North is set to increase. The IPPR has proposed 11 benchmarks for Chancellor George Osborne's flagship policy to boost regional","The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think-tank at a London reception today (26 May).

According to the report, in 2011-12 the average gap in reading and writing between working-class and most middle-class children in Westminster increased to 9.6.

The report says children living in the poorest neighbourhoods of the city performed better than their counterparts in other areas.

There were only 43 pupils admitted to special homes in Westminster last year and their reading achievement was above average for London, while the average reading achievement of the city's poorest children in Westminster was 3.7 percentage points higher than the average in Oxford and 4.9 points higher than those in the richest areas of London's boroughs.

Pupils were also less likely to be in a school where there was segregation of pupils on racial, ethnic or other grounds.
","The Institute of Public Policy Research ( IPPR ) said London 's poorest children outperformed those in the north . The report is being launched by the centre-left think tank to coincide with the launch of the government ' s white paper ' No child left behind ' next week . `` Overall , children have done better and there has been convergence but there has been a greater spread of achievement , `` the report says . `` In the 2000s , the gap between the top and bottom fifth of schools widened , indicating that achiev ments at the top grew faster than those at the bottom . `` Despite progress , the gap , which is widest in mathematics , remains between children from the richest and poorest families , `` it says . The findings show that while the achievement gap for pupils from poorer families has closed less than half as much , the gap for those from the most disadvantaged ethnic groups has narrowed more than the national average",8.06
"North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday, 3 December. ""I read some reports he must finish and stop playing. He doesn't want to be treated like that,"" Mallinder said. ""All George wants to do is get back and play rugby."" The Wales international previously had a six-month spell out of the game after suffering a series of blows to the head during matches, including a serious concussion when scoring a try against Wasps in March 2015. Media playback is not supported on this device The former Scarlets winger will sit out Northampton's game against Sale Sharks on Boxing Day because of the incident, despite saying he was not knocked out. ""He","North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday.

North had to be carried off the field by the Tigers' medical staff as he lay motionless on the field. He went straight to hospital for further checks. Newcastle's captain, Danny Simpson, described his injury as a ""stupid freak accident"". The club have given North a week off to recover from the concussion he suffered prior to the game.

Northampton had been hoping North would have played on against Leicester.

Northampton head coach Jim Mallinder said: ""Daniel has got very badly hurt. He's got a concussion but we anticipate we can get him better and back.""

Northampton director of rugby Jim Mallinder on Jack Nowell's try against Leicester.","North , 24 , landed on his head after a high tackle from Adam Thompstone in his side 's 19-11 defeat against Leicester Tigers on Saturday , 3 December . According to reports on social media , the London-based player , who is one of the Premiers hips biggest stars , has been taken to a hospital in Buckingham shire , while he undergo es tests for what is fe brryk . For the source of this report is www.prem ierleague . com < /s > < eos > This comes after , Leices ter Tigers ' Adam Thomp stone was handed a three- week ban after a high tackle . For the source of this report is www .bb c .co . uk ← s > ← < eos > → How ev er Thom pstone got away without an elbow being planted into his nog gin on Saturday , by what would be seen as the definition of head high tackle , with a large impact on the front of the head",9.78
"Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, in his first season in county cricket, refused to say if his hand had been forced by Cricket South Africa. ""Maybe, maybe not,"" he told BBC Sport. ""I think that story is one I'm going to tell at a different time."" Kolpak contracts allow sportsmen from countries with associate trade agreements with the European Union to be afforded the same right to free movement as EU citizens. They are not classed as overseas players under the terms of their contracts, but they become ineligible to represent their country at international level. Abbott and Rossouw's decisions came before Britain's exit from the European Union and they are among several South Africans to make the switch ahead of the new domestic season. Among the others, all-rounder Simon Harmer","Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, a talented right-handed legspinner - a skill that helped keep the tourists in the contest - was dismissed for just three with the new ball on the second day in the four-Test series against Sri Lanka, and was followed in the same ODI by a duck.

The news that the other seamer, Abbott, would retire was greeted with a sigh of relief by England's supporters, who have been growing increasingly frustrated with the lack of batsmanship from the two left-arm spinners. The pair struggled on the grounds of bowling both fast and slow (Abbott's slow spells averaged 3.60 and 5.70 respectively), and looked outclassed and ineffective.

In March, captain Alastair Cook said both his No.10 and his No.6 could make a comeback to help the team. He subsequently","Seamer Abbott , 29 , and top-order batsman Rossouw , 27 , confirmed their international retirements in January . Rossouw , in his first season in county cricket , refused to be re called to the Protea s tour of England this past summer which he had ... on Rossouw ? s departure for Hampshire , the first change to the squad would not have come into place . South Africa s tour of India and Bangladesh was an opportunity for new talent to be given a chance to prove it self ... more We see a huge opportunity for the future generations at that level ... the players retiring also gives those who are just emerging an opportunity to move forward and grab it . ... less The world of cricket is one that has seen a lot of changes and with two top batsmen deciding to hang up their spikes there has been plenty of talk regarding their departures ... The ICC is making serious changes for the future of cricket",8.43
