original,sampled,completed,time-4-model
"Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash on a B-road in Wiltshire. Gareth Hicks, 24, suffered fatal injuries when the van he was asleep in was hit by Mr Scott's Audi A6. Maj Scott denies a charge of causing death by careless driving. Prosecutor Charles Gabb alleged the defendant, from Green Lane in Shepperton, Surrey, had crossed the carriageway of the 60mph-limit B390 in Shrewton near Amesbury. The weather was ""awful"" and there was strong wind and rain, he told jurors. He said Mr Scott's car was described as ""twitching"" and ""may have been aquaplaning"" before striking the first vehicle; a BMW driven by Craig Reed. Mr Scott's Audi then returned to his side of the road but crossed the carriageway again before colliding head-on with a Ford Transit van","Maj Richard Scott, 40, is accused of driving at speeds of up to 95mph (153km/h) in bad weather before the smash.

His lawyer said he felt ""really embarrassed"", but added that his client had not been driving dangerously at the time of the crash.

Mr Scott's car spun out after the crash on the M2 toll road near Milton Keynes, Buckinghamshire, near to the town of Luton.

Image copyright Sussex Police Image caption Richard Scott, from Maidstone, Kent, was arrested on suspicion of drink driving and driving his car into a car being driven by Mark Davies

The 42-year-old Mr Davies, from Luton, was taken to hospital with ""life-threatening injuries"", police said.

Media playback is unsupported on your device Media caption Footage showed the car spinning away from the crash

""We have spoken in the past with Mr Scott and his lawyers about the dangers of speeding in heavy rain","Maj Richard Scott , 40 , is accused of driving at speeds of up to 95mph ( 153km/h ) in bad weather before the smash on a B-road in Wiltshire , the court heard . The judge was told that Scott had been told police were not aware of any police car or motorcycle chasing at the time . He is accused of driving at speeds of up to 95mph ( 153km/h ) in bad weather before the smash on a B-road in Wiltshire , the court heard . The judge was told that Scott had been told police were not aware of any police car or motorcycle chasing at the time . Photo : Tom Elliott / Chronicle Photo : Tom Elliott / Chronicle Image 1 of / 37 Caption Close Man accused of ramming police chase car into stone wall 1 / 37 Back to Gallery SUSPENSE is building as lawyers debate how much of.. 1 / 37 Back to Gallery SUSPENSE is building as lawyers debate how much of the £200k of damages will be for the car 's own safety ( right ) . 2 / 37 Back to Gallery SUSPENSE is building as lawyers debate how much of the £200k of damages will be for the car 's own safety ( right ) .",10.14
"The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in the mainly Muslim region. China's government has blamed Uighur militants for several recent attacks - but activists say the violence has been fuelled by Chinese repression. The Uighurs traditionally practice a moderate form of Islam. Recently, though, the influence of stricter forms of the faith from the Gulf and Pakistan has led to more women covering their faces. According to the BBC's Asia Pacific editor, Charles Scanlon, the Chinese authorities regard wearing an Islamic face veil as an act of defiance at a time of growing violence in the region. In August this year, the northern city of Karamay banned men with long beards from boarding buses. Some experts believe such","The ban was backed by local authorities in Urumqi, state media reported. The move is the latest in a campaign against Islamic clothing and symbols in China, a Muslim-majority nation that also bans the hijab and burqa.

The ""pigskin"" campaign comes as Muslims are being increasingly targeted by hardline Muslim separatists and Islamist extremists in Xinjiang, home to Muslim Uighurs. The campaign appears to have been led by Urumqi police.

The police crackdown on Islamic attire comes just days after Xinjiang officials announced the banning of headscarves in school-related activities.

The China Islamic Lawyer's Association, a private group, said the ban was ""cruel persecution against the Uighurs"".

State security authorities in Xinjiang, which borders Kazakhstan, Tajikistan and Kyrgyzstan and which is home to the Uighur Muslim minority and the government-ruled region of nine million people, have repeatedly banned or severely restricted","The ban was backed by local authorities in Urumqi , state media reported . The move is the latest in a campaign against Islamic clothing and symbols in the mainly Muslim country . The clothing and other items used in the campaign are seen by some as the latest effort by Beijing to portray the Chinese flag in a similar fashion to the red Chinese flag used to represent the Communist Party for nearly four decades . The Urumqi Municipal Cultural Commission said in a statement late Tuesday its regulations restricting “ Chinese symbols and images ” had been extended to “ face veils and cultural clothing that resembles the national flag. ” Other examples of Chinese symbols or images on garments including the national flag and other national symbols that have been included are the national Chinese characters on T-shirts and coats , “ the commission added . It did not mention the use of Chinese national symbols by Chinese foreign missionaries or their work on behalf of the Chinese government 's foreign affairs , while state media said it had been applied to face veils , the country 's national flag and other Chinese symbols �. Some in China , including many from within the ruling Communist Party , consider it necessary to impose restrictions on religious practice to ensure social order and unity .",7.27
"Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an oversight,"" Palmer told BBC Sport. ""The wrong kit box was left in the lorry and taken to the stables."" The Newmarket-based trainer saw Galilieo Gold finish fifth in the Group One Queen Elizabeth II Stakes at Ascot. Horses are only allowed to receive hay-feed or water before a race, but other substances such as electrolytes are permitted post-race. Employees of Palmer and fellow trainers, Francois Rohaut and and Jean-Claude Rouget, as well as the trainers themselves, were interviewed by stewards following a report by the Equine Welfare and Integrity Officer. Palmer is yet to hear what punishment the BHA will hand down. ""I imagine there will be a routine fine for a rule that's been broken,"" he told BBC Radio Berkshire. ""There's no suggestion that anyone was trying to seek an advantage or cheat.","Palmer expects to be fined by the British Horseracing Authority (BHA) for the rule breach during Champions Day. ""It was an error made. I have apologised to the stewards and they will be the ones to deal with it,"" he said. Despite the fact that he admitted the accident was his fault, he was quick to blame the incident on the weather and the track surface for causing his car to flip while sliding from the inside out. A statement on the Horseracing Authority's website said: ""The incident, which happened on the last lap of the race, showed a breach of Rule 23.2e and resulted in both drivers being punished. The event was later described as a'shocker' by Chief Steward David Walliams.""

""The track was completely wet to the tune of five-hundredths of an inch. The track was soaked throughout the race but in the opening lap of the second race, we got onto the circuit.","Palmer expects to be fined by the British Horseracing Authority ( BHA ) for the rule breach during Champions Day . `` It was an oversight , '' Palmer told Racehorse. com . `` I didn� ? ? t realise there was one in the rule book until I got there. My race was over in a few seconds , and I didn� �t see it until I arrived at the finish line . I hope it isn� � t an issue at the stewards meeting , but I�m probably going to get fined . `` Palmer was penalised $ 1,500 for taking more than a minute to finish his race at Ascot on Monday . With the rules in place , it was a mistake he should easily have avoided . `` I know he won the race , but that was the case before I arrived and the official rules were going to be obeyed . I was racing , not taking a break . I didn� � t look at what time I was , and he was very close behind me . There are rules in place saying that when there is danger of injury , the leader may take more than a minute .",12.74
"Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College. But a disciplinary panel ruled contact with the pupil was probably made and her conduct had been ""unacceptable"". On Thursday, the Education Workforce Council imposed the suspension, saying: ""The public interest is in favour of her being able to teach again."" Mrs Hungerford admitted shouting and slamming a book on the desk of the ""provocative and disruptive"" teenager as he listened to rap music in her classroom - but always denied hitting his head. She was cleared, on appeal, of a criminal charge for assaulting the pupil during a maths lesson for those with learning difficulties. But in November, a disciplinary panel found, on the balance of probabilities, she had made physical conduct with the pupil on the head or hand. The panel found she had ""acted in an inappropriate way""","Regina Hungerford, 56, denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil Community Learning Centre in December 2015. The court heard ""there was a considerable amount of noise coming from the room next door"" that evening.

The court heard she had ""alleged that the music that was in the room next door had made them angry due to what was said in the song being sung"".

A spokesman for the education department said it had ""taken a view that the evidence did not provide a realistic prospect of conviction"" and referred the matter back to the Crown Prosecution Service for consideration of whether or not a charge might be brought.

It was reported at the time that the teenager's father was left ""crying with rage"" when he learned of the charges against his son.

Merthyr Tydfil Police said they could not comment because of the ongoing criminal proceedings.","Regina Hungerford , 56 , denied striking a 17-year-old as he listened to music in her class at Merthyr Tydfil College . But a disciplinary panel ruled contact with the school was established and she resigned . The teenager , Thomas Smith , is under supervision in a hospice for ill youths . Two members of Ms Hungerford ’ s support team also resigned after admitting contact was made with the student . He has appealed against the decision made by the council ’ s disciplinary panel , arguing she should have been warned before she struck the boy . The hearing concluded after a short break to allow for further expert evidence of the student . The chairman then ruled that the school ’ s “ substantial ” cautionary measure had effectively been replaced with a written warning of “ indefinite probation ” after she admitted contacting Mr Smith between March 15 and March 30 . She told him that she ’ d seen him outside school earlier in the week and that he ’ d been “ very upset ” when he turned up at her door in handcuffs . She had replied ’ I am sorry ’ to his sister the teenager said.",7.97
"She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992. DUP leader Arlene Foster said Mrs O'Neill was wrong to attend, but was not surprised. However, Mrs O'Neill has defended her decision to speak at the event. She said:""There are some who would say we have no right to remember or to honour them, we have absolutely every right. ""Everyone, it doesn't matter who you are, has the right to remember their dead in a respectful and dignified manner."" The four IRA men were shot dead after attacking Coalisland police station. Soldiers opened fire on them as they dumped a lorry used in the machine-gun attack in February 1992. The Ulster Unionist Party's Mid Ulster candidate, Sandra Overend, has criticised Mrs O'Neill for attending the event. ""It is only to be expected that republicans would wish to remember their dead, but Michelle O'Neill's presence at such an event","She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992.

The Royal SAS regiment has denied it shot dead a man in an alleyway near his home

'It is an absolute mistake for the Government to talk about bringing back a second army,' Mrs McBean said.

'You cannot bring back the old army. It's time that we move on. To bring it back is something that needs to be done at a local level not a national one.

'I do feel sorry for the families, especially those that are suffering the aftermath of trauma and then their loved one's who've lost their lives. To be talking about introducing a second army is not going to make the grieving any better.'

The families - who are represented by lawyers acting for the families of those killed in the massacre - have called on the government to ensure the SAS is brought into custody in","She was speaking at an event on Thursday to remember four men who were shot dead by the SAS in her home village of Clonoe in 1992 . DUP leader Ms Foster , who was once deputy first minister , did not take any questions as she appeared at Crossmaglen town hall amid a fresh controversy and storm over how police are investigating the case . On Friday , Mr Andrews announced the formation of a police and criminal law unit , set to come up with proposals for a review of the shooting . He said : `` It is a review that is open to all who think that progress should be made . `` He went on : `` It will come through established public scrutiny. It will come through established democratic public process . `` He said he believed it was time for Northern Ireland to have a fresh look at how it deals with police shootings . Mr Andrews said the new unit would be headed by a judge , but he did not name the person . The Independent has launched its # FinalSay campaign to demand that voters are given a voice on the final Brexit deal .",9.84
"Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement plans rapidly"". Inspectors visited the force after criticising its response to government spending cuts last year. Police and Crime Commissioner Olly Martins said the report was ""out of date"". In the HMIC's Policing in Austerity: Meeting the Challenge report last year, Bedfordshire Police was judged to be ""requiring improvement"". Inspectors, who said the force would be ""monitored closely"", returned in October and found it was not performing well compared to similar forces. It highlighted problems in the force control room, although said these should be improved by a recent increase in staff. The report described staffing levels as ""fragile but improving"" and said although there had been recruitment, it was not clear what investment the force had made in","Her Majesty's Inspectorate of Constabulary (HMIC) said the force had ""fragile"" staffing levels and needed to ""implement improvement schemes urgently"".

The watchdog said it had inspected 24 force areas between April and June this year.

The report highlighted ""serious issues"" in Northumbria while Lancashire's report was titled: ""Lions are not everywhere"".

The chief inspector for the policing community, Peter Clarke, said: ""Our work to date suggests that in many respects the forces have a very serious capacity issue with respect to both their current and past officers. Some of the major challenge areas that we identified include:

lack of strategic planning and direction for the future of officer training and development

lack of adequate staffing levels for key roles, including leadership roles

lack of flexibility to deal with changing workload

lack of leadership development and recognition of officer strengths and talents.

""In short, in many","Her Majesty 's Inspectorate of Constabulary ( HMIC ) said the force had `` fragile '' staffing levels and needed to `` implement improvement plans rapidly '' . Inspectors visited police stations the same day as they released their annual report outlining the level and nature of complaints against the force . '' The force is having a very difficult time recruiting people who are willing to join the force `` and `` we are having a good effort in recruitment but not enough people have joined the force to meet the numbers '' . This is not just a police 'problem ' that the force has to try and fix . The local authority and other agencies have a similar role to play in the recruitment of police officers to areas where they are needed . The current recruitment campaign is in its third year . The current target is to recruit 600 officers to the force each year . HMIC inspected the Police Service Agency ( police ) when it inspected the policing of Westminster , and it will be watching closely to see how the agency responds as they continue to police Westminster . It can take up to a year to train and employ an officer so the overall numbers are likely to remain stable .",8.55
"Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site is made up of some 40,000 large black basalt columns which protrude from the sea. It was the Royal couple's first visit to Northern Ireland's best known tourist attraction. The causeway formed when molten rock was forced up through fissures in the earth to form a lava plateau. The Queen and Duke of Edinburgh then travelled to the nearby village of Bushmills to commemorate local soldier Robert Quigg. He won a Victoria Cross for bravery during the Battle of the Somme. Sgt Quigg was given the highest military award for valour after going out into the line of fire to search for his commanding officer. The Queen and Duke of Edinburgh unveiled a statue of the soldier as well as a commemorative","Their first stop on a busy day of public engagements was a tour of the Giant's Causeway in County Antrim. The Unesco World Heritage Site, one of the world's largest watercourses, is an important part of Ireland's culture as well as an important resource for tourism.

Belfast Telegraph Digital

The tour was led by Brian, a Sinn Féin councillor in Antrim, who was also given a special briefing on how tourism could be supported while the rest of the county recovers.

""We've got to go out and engage the tourist industry to see what they can do – make them understand that it's a different world from how they thought it was,"" he said.

The tour also took in the Falls of Lough Neagh, the Giant's Causeway, Dungannon Castle Gardens and Cloonmiller Park.

We have got to go out and engage the tourist industry to see what they can do – make","Their first stop on a busy day of public engagements was a tour of the Giant 's Causeway in County Antrim . The Unesco World Heritage Site is made up of the oldest stone carvers ’ and stone masons ’ works in the world . As they walk along the Causeway 's western shoreline , two very different versions of history unfold . The tour is being conducted by a member of the local history club . She chats to them about past visitors to the site , what makes them proud to call it County Antrim , and the dangers facing the seaside park today. The visitor talks are fascinating , and one local historian has told them both that they should visit the Causeway in person to see it . As the tour comes to a close , we talk to the club-members a while longer , only to be invited to take a photo with the Giant 's Causeway . That 's the day I lost my camera in the fog over Carlingford Lough ! < /s >. > < /s >.",7.94
"The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think tank in Sheffield. The government said extra funds were being given to early years providers to help children from poorer backgrounds and close the attainment gap. The report has also detailed a number of ""tests"" or benchmarks for the government's northern powerhouse scheme. Research by the IPPR showed only 47% of children born in the poorest families in the north of England achieved a good level of early years development compared with 59% in London. Its survey also found five northern city-regions combined had almost as many well-qualified individuals (3.6 million) as London (3.7 million) - but the IPPR forecasts demand for skilled workers in the North is set to increase. The IPPR has proposed 11 benchmarks for Chancellor George Osborne's flagship policy to boost regional","The Institute of Public Policy Research (IPPR) said London's poorest children outperformed those in the north. The report is being launched by the centre-left think-tank at a London reception today (26 May).

According to the report, in 2011-12 the average gap in reading and writing between working-class and most middle-class children in Westminster increased to 9.6.

The report says children living in the poorest neighbourhoods of the city performed better than their counterparts in other areas.

There were only 43 pupils admitted to special homes in Westminster last year and their reading achievement was above average for London, while the average reading achievement of the city's poorest children in Westminster was 3.7 percentage points higher than the average in Oxford and 4.9 points higher than those in the richest areas of London's boroughs.

Pupils were also less likely to be in a school where there was segregation of pupils on racial, ethnic or other grounds.
","The Institute of Public Policy Research ( IPPR ) said London 's poorest children outperformed those in the north . The report is being launched by the centre-left think tank in the same week that research by the Joseph Rowntree Foundation reveals that in the face of an ageing society , living in London 's greatest areas is increasingly out of reach for many . '' These figures are clear evidence that London needs to re-orientate our thinking on child wellbeing and poverty policy , '' IPPR London director Tom Chivers said . The IPPR said parents in the city are being forced to choose between spending time with their children and raising their children 's school fees . The report - a policy challenge issued as the government 's Spending Review debate resumes - also calls for the government to increase spending for specialist early years interventions in primary , secondary and early adult education ( EA ) . The IPPR said the lack of universal free primary and early years education means that children have to leave school with less qualifications in the most expensive part of the country . 'The UK is a rich country but is not making the best use of its potential , '' Chivers said .",8.72
"North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday, 3 December. ""I read some reports he must finish and stop playing. He doesn't want to be treated like that,"" Mallinder said. ""All George wants to do is get back and play rugby."" The Wales international previously had a six-month spell out of the game after suffering a series of blows to the head during matches, including a serious concussion when scoring a try against Wasps in March 2015. Media playback is not supported on this device The former Scarlets winger will sit out Northampton's game against Sale Sharks on Boxing Day because of the incident, despite saying he was not knocked out. ""He","North, 24, landed on his head after a high tackle from Adam Thompstone in his side's 19-11 defeat against Leicester Tigers on Saturday.

North had to be carried off the field by the Tigers' medical staff as he lay motionless on the field. He went straight to hospital for further checks. Newcastle's captain, Danny Simpson, described his injury as a ""stupid freak accident"". The club have given North a week off to recover from the concussion he suffered prior to the game.

Northampton had been hoping North would have played on against Leicester.

Northampton head coach Jim Mallinder said: ""Daniel has got very badly hurt. He's got a concussion but we anticipate we can get him better and back.""

Northampton director of rugby Jim Mallinder on Jack Nowell's try against Leicester.","North , 24 , landed on his head after a high tackle from Adam Thompstone in his side 's 19-11 defeat against Leicester Tigers on Saturday , 3 December . He is in his final season in Super League and is a regular starter on the team . He signed a two-year contract in June 2013 and started the season without making a first team start before finding his feet in the last two months of the campaign when he was the only specialist of the three in front of him . `` He 's been brilliant in rehab and it 's been really good for him and for the club , '' explained Super League head coach Darren McGregor . Super League - Live Text Coverage Match Highlights : Exeter Chiefs v Leeds Rhinos Watch live Super Rugby action highlights from South Africa 's Currie Cup and Super Rugby sides as well as Test matches from England , Australia. See live Super Rugby matches and live Super Rugby highlights from South Africa & Australasia ..",5.71
"Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, in his first season in county cricket, refused to say if his hand had been forced by Cricket South Africa. ""Maybe, maybe not,"" he told BBC Sport. ""I think that story is one I'm going to tell at a different time."" Kolpak contracts allow sportsmen from countries with associate trade agreements with the European Union to be afforded the same right to free movement as EU citizens. They are not classed as overseas players under the terms of their contracts, but they become ineligible to represent their country at international level. Abbott and Rossouw's decisions came before Britain's exit from the European Union and they are among several South Africans to make the switch ahead of the new domestic season. Among the others, all-rounder Simon Harmer","Seamer Abbott, 29, and top-order batsman Rossouw, 27, confirmed their international retirements in January. Rossouw, a talented right-handed legspinner - a skill that helped keep the tourists in the contest - was dismissed for just three with the new ball on the second day in the four-Test series against Sri Lanka, and was followed in the same ODI by a duck.

The news that the other seamer, Abbott, would retire was greeted with a sigh of relief by England's supporters, who have been growing increasingly frustrated with the lack of batsmanship from the two left-arm spinners. The pair struggled on the grounds of bowling both fast and slow (Abbott's slow spells averaged 3.60 and 5.70 respectively), and looked outclassed and ineffective.

In March, captain Alastair Cook said both his No.10 and his No.6 could make a comeback to help the team. He subsequently","Seamer Abbott , 29 , and top-order batsman Rossouw , 27 , confirmed their international retirements in January . Rossouw , in his first season in county cricket , refused the chance to come back for the 2019 World Cup and said he would spend the winter contemplating his options . The right-handed batsman , who left the South African team in 2010 after a series of personal issues , will add county Championship gold to his collection with Essex , after winning county and South African trophies with Border . The Essex team included his father Chris , who was also a fast-bowling all-rounder , along with Test batsman Peter Burl and spinners Chris Gayle , Kevin Pietersen , Alastair Cook and David Graveney . < |endoftext| >.. < |endofentry | > < |endofentry | > < |endofentry | > < |endofentry | > < |endofentry | > < |endofentry | > < |endofentry | > < |endofentry | > < |.. < |endofentry | > < |endofentry | > The South African team will arrive in Zimbabwe today for a two-match Test series which follows their drawn ODI and T20I series there last November . They will face Zimbabwe here tonight , and then they will travel to New Zealand , where Chris Gayle and David Ford have pledged to make up the Test side .",9.41
